geoid,medrent90,medrent00,medrent16,medhval90,medhval00,medhval16,percol90,percol00,percol16,pernwh90,pernwh00,pernwh16,perli90,perli00,perli16,per_rent_90,per_rent_00,per_rent16,pop00,pop16,asian_16_low,carcommuters_00,pre50_16,hhwch16,empd15,density16,aland,li16,afford90,belowmedcol90,abovemednwh,abovemedli,abovemedrent,vulnrisk90,vuln90,afford00,belowmedcol00,abovemednwh00,abovemedli00,abovemedrent00,vulnrisk00,vuln00,afford16,belowmedcol16,abovemednwh16,abovemedli16,abovemedrent16,vulnrisk16,vuln16,hotmarket90(127%-169%),hotmarket00(110%-207%),percol16,edudiff0016,abm_dif_0016,edudiff9000,abm_dif_9000,hinc90_NYU,hinc00_NYU,hinc16_NYU,hinc90,hinc00,hinc16,pct_ch_hinc90_00,pct_ch_hinc00_16,abm_inc_90_00,abm_inc_00_16,li16,gent90_00,gent00_16,ch_all_li_count90_00,ch_all_li_count00_16,liloss9016,per_limove16,per_limove09,exclusion,popgrowth0016,Incch0016,li_hh_16
9001010101,1001,1601,1510,500001,1000001,1494000,0.516292313,0.354071363,0.619597495,0.068272153,0.06608024,0.144966126,0.089302115,0.082057648,0.297966778,0.158159597,0.128118678,0.182492584,4661,4132,0.061713456,0.698275862,0.256875,0.307863502,2467,0.000126099,32767998,0,0,0,0,0,0,FALSE,0,1,1,1,1,0,1,1,0,0,0,0,0,FALSE,0,1,0,0.61959749,0.265526127,1,-0.162220949,0,94647,188949,150655,173204.0093,273976.05,150655,0.581811249,-0.450116158,1,0,0,0,0,-19.55026245,136.0813599,0,0.640099049,0.399432302,0,0,0.549883831,401.65921
9001010102,1000.999968,1244,1628,500001.0059,1000000,2000000,0.619490385,0.74847662,0.784977913,0.081150703,0.098972298,0.157163397,0.12292307,0.15290615,0.165134132,0.109222487,0.10810811,0.106728539,4476,4174,0,0,0.14607465,0,74.15811675,0.000127958,32620151,0,0,0,0,0,0,FALSE,0,1,1,1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,1,1,0.78497791,0.03650129,0,0.128986235,1,#N/A,#N/A,#N/A,274501.8267,290000,250000,0.05645927,-0.137931034,1,0,0,0,0,48.47680664,-7.125137329,0,0.405638933,0.501115322,1,0,0.862068966,213.51843
9001010201,1000.999996,833,2113,499472.1825,1000000,2000000,0.602176842,0.70422536,0.761389256,0.076997916,0.088500731,0.171193168,0.11263287,0.092268594,0.182630912,0.15336697,0.13786408,0.229061559,3435,3277,0,0,0.35267451,0,235.0924191,0.000291049,11259265,0,0,0,0,0,0,FALSE,0,1,1,1,0,0,FALSE,0,0,0,0,0,0,FALSE,0,1,1,0.76138926,0.0571639,0,0.102048518,1,#N/A,#N/A,#N/A,273595.1146,290000,212448,0.059960447,-0.267420679,1,0,0,0,0,-13.43575287,85.95057678,0,0.464239746,0.396218151,0,0,0.73257931,180.98723
9001010202,1001,1791,2250,500001,769300,1459900,0.552380952,0.342163971,0.662878811,0.077891791,0.130701418,0.260908753,0.119164504,0.112301875,0.195628464,0.152439024,0.213789417,0.25,5218,5546,0.123332131,0.748148148,0.179112272,0.426185345,500,0.000568576,9754186,0,0,0,0,0,0,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,0,0,FALSE,0,1,1,0.66287881,0.320714839,1,-0.210216981,0,89564,108651,187875,157618.5186,157543.95,187875,-0.000473095,0.192524374,0,1,0,0,0,38.88369751,-84.88815308,0,0.34804365,0.45042491,1,1,1.192524372,363.08643
9001010300,1001,1967,1900,500001,1000001,2000001,0.647750865,0.357743518,0.805446088,0.074826561,0.103640777,0.13781181,0.073483502,0.074788705,0.216068044,0.293546149,0.273833671,0.281533092,4120,4049,0.047913065,0.634269259,0.489783282,0.366550523,5277,0.00042142,9607994,0,0,0,0,0,0,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,0,0,FALSE,0,1,0,0.80544609,0.447702572,1,-0.290007347,0,101753,170028,221250,186207.992,246540.6,221250,0.324006558,-0.102581888,1,0,0,0,0,-19.13200378,58.64305115,0,0.395026118,0.493522793,1,0,0.897418113,310.05765
9001010400,1001,1414,2223,336900,430000,666900,0.306301516,0.247339735,0.560969949,0.05451278,0.10809226,0.213100731,0.22150257,0.164955761,0.248733446,0.286147624,0.284145177,0.307237804,5116,5847,0.041217718,0.853932584,0.277851753,0.369276219,1635,0.002160907,2705808,0,0,0,0,1,0,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,0,0,FALSE,0,1,1,0.56096995,0.313630215,1,-0.05896178,0,54015,77471,107965,98847.45042,112332.95,107965,0.136427388,-0.038883962,1,1,0,0,0,-111.6838379,-128.0574036,1,0.488972485,0.497784376,1,1,0.961116039,505.17764
9001010500,869,1290,1767,307600,343600,585700,0.318820984,0.241264559,0.441979528,0.208088979,0.30508775,0.42876032,0.227709031,0.197065506,0.52293092,0.730454546,0.713533225,0.765289247,5641,6050,0.113057851,0.707908612,0.40452454,0.344214876,2996,0.003338025,1812449,1,0,0,1,1,1,1,0,1,0,1,1,0,FALSE,0,0,0,0,1,1,FALSE,0,1,1,0.118275777,-0.122988783,0,-0.077556425,0,40914,52971,65593,74791.04069,76807.95,65593,0.026967259,-0.146012887,0,0,0,0,0,63.70373535,70.09594727,0,0.646977305,0.635375738,0,1,0.85398712,1265.4928
9001010600,811,1107,1834,404500,422700,706400,0.453947368,0.347902098,0.692041516,0.246707638,0.188206388,0.278823525,0.194063413,0.143679074,0.403954297,0.699490662,0.634083045,0.637080848,2035,1700,0.125882353,0.586008231,0.607298002,0.08086785,10222,0.001924865,883179,1,0,0,1,1,1,1,0,1,0,1,1,0,FALSE,0,0,0,0,1,1,FALSE,0,1,1,0.230957963,-0.116944135,0,-0.106045271,0,41573,75416,93810,76078.58916,109353.2,93810,0.437371552,-0.142137587,1,0,0,0,0,-138.1227722,42.98797607,0,0.471545547,0.767424524,1,0,0.857862413,409.60965
9001010700,643,710,1276,454100,397800,681900,0.403733529,0.240391335,0.532815814,0.1520251,0.231968296,0.226541549,0.141973639,0.132502961,0.487384945,0.44055522,0.448022599,0.525943399,3785,3730,0.054959786,0.633962264,0.380926431,0.227004717,540,0.002010522,1855240,1,0,0,0,0,1,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,1,1,FALSE,0,0,1,0.15476478,-0.085626554,0,-0.163342194,0,45115,52115,73831,82560.44881,75566.75,73831,-0.084710039,-0.022969758,0,1,0,0,0,116.7925415,-61.65319824,0,0.56178844,0.293257237,0,0,0.977030242,826.60486
9001010800,1001,1495,1726,369600,488800,885500,0.420080591,0.340946844,0.734986961,0.099440797,0.132900177,0.248518959,0.120026692,0.140192413,0.317141175,0.343396226,0.294246176,0.304693729,3386,3376,0.093898104,0.688817891,0.494160584,0.319809069,1464,0.001735107,1945701,0,0,0,0,0,0,FALSE,0,1,0,1,1,0,FALSE,0,0,0,0,0,0,FALSE,0,1,1,0.177736383,-0.163210461,0,-0.079133747,0,55730,86478,128494,101985.9043,125393.1,128494,0.229514033,0.024729431,1,1,0,0,0,44.4770813,-11.8097229,0,0.5243572,0.15798308,0,0,1.024729431,398.64645
