,GEOID,geometry,yelloCabCount,greenCabCount
0,36081113900,"POLYGON ((-73.79190199967752 40.76893599959674, -73.79152600032462 40.76847499992132, -73.7914230000714 40.76834900040605, -73.79069299968221 40.76752500017863, -73.79059899984398 40.76741899978705, -73.79022799982235 40.76695499997328, -73.78991099959291 40.76652399988273, -73.78963600040113 40.7661420002532, -73.78838500026751 40.76440600023675, -73.78807500036096 40.76419899968414, -73.78753199960202 40.76390000028477, -73.78585300041568 40.76301399989624, -73.78570699997807 40.76293699994263, -73.785444999587 40.76259699955195, -73.78535099974887 40.76225700006054, -73.78527399979525 40.76184199980851, -73.78516800030296 40.7614329998331, -73.78557900037053 40.76140100015607, -73.78612999969972 40.76135900001786, -73.78716599981102 40.7612769998337, -73.78806800003815 40.76120500011063, -73.78896600008083 40.76112800015711, -73.78986200003125 40.76105699958094, -73.79076000007393 40.76098599990404, -73.79165499997825 40.76091200008879, -73.79255300002093 40.76084000036572, -73.79343999955636 40.760763999559, -73.79344299969472 40.76118500008766, -73.79343700031727 40.76159700020141, -73.79334499967193 40.7622950000143, -73.79322500043341 40.76314200040297, -73.7930250002036 40.76462100025898, -73.79395900010778 40.76469500007423, -73.79361300033965 40.7672229997417, -73.79342199962556 40.76860000028978, -73.79317900011073 40.77040299979858, -73.79239299983708 40.76950999998652, -73.79190199967752 40.76893599959674))",0,7
1,36061025700,"POLYGON ((-73.95068000038171 40.81084300040413, -73.95116500026454 40.81017300008393, -73.95166399989371 40.80949000006348, -73.95212499956904 40.80886199988139, -73.95258500009773 40.80823799988377, -73.95291700011951 40.80778000034672, -73.9530400003957 40.80760999970169, -73.95350000002493 40.80698100037289, -73.95395700041524 40.8063530001909, -73.9544159999984 40.80572500000882, -73.95586899955462 40.8063360003062, -73.95726600012576 40.80691600007334, -73.95680599959725 40.80754600034769, -73.95634399987564 40.80817399963041, -73.95588400024643 40.80880199981248, -73.95542999999446 40.80942899994847, -73.95496600018078 40.8100639995539, -73.95357599993245 40.80947700036332, -73.9532769996338 40.80988000006199, -73.95307900039555 40.81009400003813, -73.95259100037435 40.81076500040452, -73.95210100026098 40.81144200014825, -73.95068000038171 40.81084300040413))",1,1
2,36047000502,"POLYGON ((-73.99136499969497 40.69701000031133, -73.99129800020253 40.69657900022069, -73.99122500043337 40.69638500026752, -73.99114400029539 40.69615899973803, -73.99074599992798 40.69503400001913, -73.99066299969765 40.69456099979038, -73.99210000031481 40.69494699960435, -73.9924239999676 40.69427600013734, -73.99274400033541 40.69360499977095, -73.99310299980361 40.69284599984307, -73.99418600028366 40.6930090001652, -73.99508000014188 40.69314700023391, -73.99482900025816 40.69367300020878, -73.99461899956719 40.69412000013794, -73.99429800005258 40.69479199965104, -73.99397799968496 40.69546300001742, -73.99378499977787 40.69586999990064, -73.99301999957328 40.69746000037876, -73.99212399962286 40.69722400028747, -73.99136499969497 40.69701000031133))",0,0
3,36081015802,"POLYGON ((-73.81497399975029 40.68669500037402, -73.81581699995459 40.68645199995991, -73.816661000205 40.68621099963799, -73.81737499985638 40.68600299993849, -73.81818300024521 40.68577400017001, -73.81903099978079 40.6855400001709, -73.81972600035459 40.68538500021766, -73.82059299986705 40.68513799961902, -73.82146999984066 40.68489099991975, -73.82245400025185 40.68690300007344, -73.82317900041052 40.68661999961331, -73.82329699955689 40.6865750002361, -73.82417300038361 40.68623399979924, -73.82501100035738 40.68795199988489, -73.82397999957725 40.68824499990683, -73.82293199981189 40.68854300015931, -73.82189299956231 40.68883800027351, -73.82085300016584 40.6891340004338, -73.81993900028463 40.68939399983324, -73.81906100026492 40.68964199957868, -73.81818700042976 40.6898920003156, -73.81692599983506 40.69024999973779, -73.81667299985907 40.68974699992417, -73.81641999988308 40.68924500015664, -73.81628299986055 40.68929999999501, -73.81497399975029 40.68669500037402))",0,11
4,36047116000,"POLYGON ((-73.88618300014529 40.66752100019399, -73.88708400032634 40.66738800035591, -73.88798799974637 40.66725399957246, -73.88888899992742 40.6671199996883, -73.88977000008539 40.66698999998858, -73.89016500031454 40.66852399968287, -73.89055799955206 40.67006000036871, -73.89087799991977 40.67131799992577, -73.88999399962343 40.67144899967167, -73.88909599958066 40.67158200040902, -73.88819200016071 40.6717150002471, -73.8872889998874 40.67184800008518, -73.88696800037287 40.67059499985938, -73.88657400018991 40.66905800002672, -73.88618300014529 40.66752100019399))",0,0
5,36047113400,"POLYGON ((-73.89723299980308 40.66587799996976, -73.89815800019154 40.66574700022386, -73.8990760002572 40.66560800010915, -73.89999699956184 40.66547200013272, -73.90085100027339 40.66534599971817, -73.90126599962615 40.66688000031183, -73.90166800017802 40.66841299996003, -73.9019820002691 40.66967000037027, -73.90110400024939 40.66980000006999, -73.90018300004539 40.6699390001847, -73.89926199984137 40.67007300006896, -73.89834099963744 40.67021200018367, -73.89802000012293 40.66895799991178, -73.89763300026276 40.66741899998686, -73.89723299980308 40.66587799996976))",0,1
6,36081099704,"POLYGON ((-73.78226999976066 40.78866100000523, -73.78069199983589 40.78797900003087, -73.77998999983856 40.78719699994166, -73.77867600039713 40.78544600013286, -73.77731999991802 40.78356899990943, -73.77652300003638 40.78244700032882, -73.7758949998543 40.78154400005558, -73.77575000036224 40.78139100019455, -73.77562199985542 40.78122499973396, -73.77551300022475 40.78104699961932, -73.77542499976397 40.78085999998905, -73.77536000036372 40.78066600003588, -73.77532100036387 40.78046599980608, -73.77530699971825 40.78026500042947, -73.77531900027169 40.78006500019967, -73.77535500013317 40.77986800010815, -73.77541600024819 40.77967700029333, -73.77549800043234 40.77949499999433, -73.7755989996941 40.7793230001564, -73.77583899996984 40.77861299979008, -73.77678400038127 40.77841000032129, -73.77769400007801 40.77815999958437, -73.77858799993625 40.77791199983891, -73.77947699956385 40.77766400009356, -73.78036199990638 40.77738699991014, -73.78279799982778 40.77666599993602, -73.78407600030719 40.77628899963766, -73.78441399970633 40.77619199966108, -73.78459299986707 40.77614100000716, -73.78464799970544 40.77760700016292, -73.78467199991285 40.77802999988465, -73.78472899984342 40.77898699995007, -73.78474200044295 40.77907899969612, -73.78476999993553 40.779279999972, -73.7847910000046 40.77942999969478, -73.78493600039612 40.78017399983024, -73.78496599998088 40.78034699971425, -73.78528400025641 40.78195900030762, -73.78542200032504 40.78238500016763, -73.78519599979555 40.7824290003981, -73.7823699998755 40.78296900011923, -73.78261699957487 40.7843119999988, -73.78352900026319 40.78874500028157, -73.78332399980275 40.78874600032766, -73.78311800019551 40.78874500028157, -73.78291399978126 40.7887070003278, -73.78271300040466 40.78866900037414, -73.78251800040539 40.78861799982084, -73.78226999976066 40.78866100000523))",0,8
7,36005011900,"POLYGON ((-73.88796999981558 40.82225999989909, -73.88843399962936 40.82193300010793, -73.88879299999692 40.82170000015491, -73.88893700034225 40.82165099969389, -73.88900099969634 40.8216230002013, -73.88908900015721 40.82157599983254, -73.88930100004109 40.82143200038649, -73.88964599976312 40.8212049998109, -73.89004300008436 40.82094999974274, -73.89014500029155 40.82087599992749, -73.89029399996808 40.82076300011238, -73.89045200005975 40.82064299997447, -73.89082400012748 40.82030699976823, -73.8916149997325 40.82098499955814, -73.89171099966291 40.82172000017788, -73.89179099975479 40.82307899989598, -73.89192999986959 40.82465599977457, -73.89128799994126 40.82511999958835, -73.89055500031296 40.82510199965756, -73.88964999994748 40.82513600032615, -73.88871099981277 40.82518099970343, -73.88777399977023 40.82522599997992, -73.88661300018974 40.82532900023322, -73.88674700007401 40.8243910001446, -73.88689499970452 40.82371699963986, -73.88707399986517 40.82330699961837, -73.88719199991091 40.82302099991924, -73.88736299970266 40.82277000003553, -73.88754399995567 40.82256100028992, -73.88767399965538 40.82246899964468, -73.88796999981558 40.82225999989909))",0,7
8,36081026700,"POLYGON ((-73.88384300015427 40.74579700003152, -73.88425100008359 40.74520199957266, -73.88466899957461 40.7445890000823, -73.88509500033398 40.74397399960038, -73.88538300012539 40.74384900013129, -73.8862080003989 40.74377500031604, -73.88709800007268 40.74367600024728, -73.88798599965419 40.74354799974036, -73.88886999995053 40.74339900006386, -73.88979200020064 40.74326099999516, -73.89071599964365 40.74312800015708, -73.89110999982661 40.74520299961875, -73.89139300028674 40.74664799970545, -73.89143100024042 40.74684499979698, -73.89050099962141 40.74694199977348, -73.88957099990178 40.74703899975006, -73.88867800008963 40.74713399963438, -73.88778300018531 40.74722900041805, -73.88764700020887 40.74724500025658, -73.88671699958977 40.74734100018708, -73.88578699987015 40.74744000025584, -73.8854879995715 40.74579199980098, -73.88455999994405 40.74588999982366, -73.8837979998778 40.74592699973124, -73.88384300015427 40.74579700003152))",0,1
9,36081041300,"POLYGON ((-73.86026199999135 40.74706900023421, -73.86023399959937 40.74701000021138, -73.8599010004308 40.74638800030602, -73.85955999999402 40.74572400026245, -73.85921700036425 40.74506100026497, -73.8590810003879 40.74478300003547, -73.8588739998352 40.74439500012921, -73.85868099992813 40.7440310004303, -73.85877699985862 40.7433260002947, -73.85988299960073 40.74341499990238, -73.85944900027118 40.74303600041112, -73.86045199975997 40.74242800025202, -73.86118700037981 40.74198499960811, -73.86266600023573 40.74340999967184, -73.86274899956669 40.74356899980952, -73.86341499970244 40.7447809999432, -73.86412600011477 40.74511900024169, -73.86437099972186 40.74508200033403, -73.86442599956023 40.74524299966469, -73.86420800029902 40.74576899963965, -73.86418900032213 40.74581299987005, -73.86407200032249 40.74607400021494, -73.86253100030538 40.74653399984426, -73.860319999968 40.74719599979555, -73.86026199999135 40.74706900023421))",0,5
